id,postId,views,reach,likes,reposts,comments,clicksToLink,system
984,1028,12106,11059,15,1,15,549,vk
983,1027,73931,67822,289,2,38,1559,vk
982,1026,12262,12094,35,0,17,58,vk
981,1025,8636,8296,8,0,0,166,vk
980,1024,12139,12239,19,0,13,403,vk
979,1023,17089,16797,81,1,24,606,vk
978,1022,20939,19930,250,37,20,2,vk
977,1021,27668,25274,89,1,33,1576,vk
976,1020,33805,33685,126,7,6,0,vk
975,1019,19521,18787,45,3,12,0,vk
974,1018,10185,9879,22,0,3,114,vk
973,1017,10730,10032,32,1,2,164,vk
972,1016,17326,16025,89,1,13,585,vk
971,1015,12813,12254,23,1,15,351,vk
970,1014,11730,11157,33,0,6,0,vk
969,1013,9863,8703,35,1,0,429,vk
968,1012,16500,15238,58,0,16,999,vk
967,1011,12378,10489,40,0,10,170,vk
966,1010,12105,11074,13,0,17,268,vk
965,1009,8787,7656,8,0,3,94,vk
964,1008,10418,9975,19,0,8,144,vk
963,1007,8830,7920,11,0,0,301,vk
962,1006,21781,19508,34,1,33,4,vk
961,1005,13546,12822,51,1,19,238,vk
960,1004,14095,13489,36,2,42,265,vk
959,1003,20161,18951,132,3,64,772,vk
958,1002,13453,12171,13,0,61,549,vk
957,1001,9937,9703,4,0,7,49,vk
956,1000,9449,8591,15,0,6,192,vk
955,999,8958,8528,9,0,1,79,vk
954,998,11142,9588,48,1,0,116,vk
953,997,15360,13868,69,1,15,423,vk
952,996,16243,14873,40,0,72,463,vk
951,995,9564,8781,13,1,1,181,vk
950,994,13121,11649,19,1,19,228,vk
949,993,10925,10612,25,0,13,186,vk
948,992,22883,20749,168,4,30,576,vk
947,991,14400,13959,35,2,34,517,vk
946,990,26054,22470,191,9,23,7,vk
945,989,10311,9318,33,0,1,105,vk
944,988,14621,13831,54,0,10,321,vk
943,987,9592,8477,9,0,4,241,vk
942,986,16514,15624,78,1,9,304,vk
941,985,13674,12021,50,1,12,223,vk
940,984,10285,8859,11,0,12,270,vk
939,983,9956,8328,17,0,2,122,vk
938,982,11316,10292,36,0,7,2,vk
937,981,15481,14764,82,3,2,7,vk
936,980,32573,30242,594,69,36,3,vk
935,979,17894,17274,32,1,23,109,vk
934,978,18934,18716,6,0,37,2,vk
933,977,22114,20908,95,2,26,735,vk
932,976,55913,51065,425,40,16,3,vk
931,975,47870,45090,340,9,27,1160,vk
930,974,19354,18230,50,2,11,772,vk
929,973,14198,13745,33,0,4,139,vk
928,972,36886,34763,114,1,46,1046,vk
927,971,44746,42526,138,9,6,4,vk
926,970,9076,8635,21,0,1,17,vk
925,969,35484,33105,165,6,26,1249,vk
924,968,13219,12753,12,0,42,596,vk
923,967,24050,19175,49,2,16,2796,vk
922,966,38901,35801,106,3,47,672,vk
921,965,10900,9881,15,0,20,46,vk
920,964,10305,10321,17,0,3,89,vk
919,963,14959,13686,184,0,14,0,vk
918,962,10331,9669,27,0,5,106,vk
917,961,12228,12452,29,1,22,203,vk
916,960,8852,8599,17,0,4,67,vk
915,959,11051,9843,8,0,13,282,vk
914,958,15304,14511,69,2,16,254,vk
913,957,11841,11831,14,0,5,475,vk
912,956,11548,11461,37,0,6,85,vk
911,955,81856,70350,351,26,56,12,vk
910,954,12790,12567,33,1,15,355,vk
909,953,16322,15532,97,2,34,628,vk
908,952,10734,9571,28,1,12,112,vk
907,951,8995,8199,10,0,3,149,vk
906,950,9061,8884,9,0,3,117,vk
905,949,11338,11364,43,0,5,238,vk
904,948,10961,10128,30,0,3,125,vk
903,947,10699,9705,36,2,9,1,vk
902,946,12024,11992,29,0,20,423,vk
901,945,10929,10629,39,0,6,166,vk
900,944,11789,11392,17,3,15,558,vk
899,943,9664,9354,15,0,8,140,vk
898,942,13777,14402,14,0,31,76,vk
897,941,10924,10101,15,1,23,233,vk
896,940,14086,13362,37,1,70,585,vk
895,939,11521,10663,34,0,7,308,vk
894,938,15400,14452,42,4,38,694,vk
893,937,14290,13870,22,1,13,2,vk
892,936,10326,10174,7,0,29,246,vk
891,935,16479,16201,70,1,23,248,vk
890,934,12058,10846,29,0,7,160,vk
889,933,29850,26643,120,2,22,2,vk
888,932,10710,10187,14,0,11,311,vk
887,931,9433,9095,6,0,1,200,vk
886,930,27102,23832,80,2,36,1166,vk
885,929,15194,14979,52,0,22,76,vk
884,928,10710,9869,16,1,2,160,vk
883,927,14813,13377,27,0,0,256,vk
882,926,47516,42767,79,0,105,1114,vk
881,925,17935,16487,47,0,24,1002,vk
880,924,13352,12099,25,2,0,1,vk
879,923,180365,174124,812,5,134,25,vk
878,922,93103,87273,370,37,18,5,vk
877,921,12627,11705,23,1,0,100,vk
876,920,11738,11081,19,0,4,423,vk
875,919,11810,11147,17,0,5,172,vk
874,918,16481,17045,53,1,12,248,vk
873,917,16967,16039,23,2,11,434,vk
872,916,14217,13524,24,1,42,221,vk
871,915,39928,37530,100,2,55,1,vk
870,914,13424,12425,16,1,16,268,vk
869,913,23871,22869,99,0,56,194,vk
868,912,12193,11702,22,0,5,186,vk
867,911,16317,15620,55,0,10,243,vk
866,910,19514,19190,43,0,43,219,vk
865,909,24998,22292,42,0,63,4,vk
864,908,14791,13944,19,0,6,509,vk
863,907,14840,14617,34,0,21,248,vk
862,906,16556,15860,79,1,24,120,vk
861,905,12634,10982,26,0,6,291,vk
860,904,26621,22879,42,0,27,53,vk
859,903,39112,33839,47,1,37,162,vk
858,902,13425,11325,26,0,5,89,vk
857,901,44486,38912,96,8,16,4,vk
856,900,13642,13221,24,0,11,162,vk
855,899,14265,14626,42,0,18,158,vk
854,898,21693,22267,35,1,41,429,vk
853,897,17339,15916,22,0,4,179,vk
852,896,12219,10871,13,1,4,332,vk
851,895,23337,23562,43,3,49,394,vk
850,894,39520,36083,239,7,52,596,vk
849,893,19193,18540,42,0,40,736,vk
848,892,24791,21966,55,0,18,103,vk
847,891,13372,12335,42,2,0,214,vk
846,890,38367,36436,153,1,34,495,vk
845,889,16996,17147,59,0,13,606,vk
