id,publishedAt,text
vk1028,2019-03-01 13:08:34,"Гос номера у частников будут стоить 2000 рублей

Подробнее: https://drom.ru/s/eY0"
vk1027,2019-03-01 14:24:28,"КАМАЗ уже год снимает своих красивых работниц

Смотрите фото: https://drom.ru/s/IE1"
vk1026,2019-03-01 16:10:50,"UAZ Patriot получил спецверсию с салатовым цветом кузова

Подробнее: https://drom.ru/s/bVJ"
vk1025,2019-03-01 17:00:16,"С обновлением Renault Duster его минимальная цена перевалила за 700 000 рублей

Подробнее: https://drom.ru/s/GzM"
vk1024,2019-03-01 18:00:11,"Почему Hyundai не может уделать KIA? Выясняем на примере обновлённой Элантры

Читайте на сайте: https://drom.ru/s/yme"
vk1023,2019-03-01 19:00:13,"#объявадня 
ЗИЛ-41047, 1988 год 
15 999 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/SLJ"
vk1022,2019-03-01 23:00:12,Девушка жалуется спутнику на неполадки в своем автомобиле.
vk1021,2019-03-02 12:16:57,"Помните ДТП с БТРами? Вот как это было!

Смотрите видео: https://drom.ru/s/UsH"
vk1020,2019-03-03 00:35:54,Чудо спасло пассажиров мопеда во Вьетнаме от верной смерти.
vk1019,2019-03-03 02:33:03,"Грузовое судно из Владивостока врезалось в мост в Пусане — корейские СМИ сообщают, что капитан был пьян! Судно водоизмещением 6 тысяч тонн врезалось в участок между опорами моста, получив значительные повреждения и пробив в мосту дыру размером 5 на 5 метров. Морская полиция эвакуировала аварийное судно, движение по мосту перекрыто. Никто не пострадал."
vk1018,2019-03-03 17:14:42,"Концерт рок-группы внутри Honda N-VAN? Загружаем гитару, басуху и ударную установку!

Читайте на сайте: https://drom.ru/s/WZU"
vk1017,2019-03-03 18:30:02,"По Аляске на доме на колёсах до Ледовитого Океана. 3700 км за неделю

Новые заметки об автопутешествии по ссылке: https://drom.ru/s/jpj"
vk1016,2019-03-03 19:46:43,"#объявадня 
Mercedes-Maybach S450 4MATIC, 2017 год 
8 850 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/aaX"
vk1015,2019-03-03 23:15:06,"Tesla начала продажи бюджетной версии Model 3

Подробнее: https://drom.ru/s/tm1"
vk1014,2019-03-03 23:59:00,"Недавно мы публиковали видео из Сингапура, на котором из-за дорожного конфликта водитель грузовичка толкнул велосипедиста машиной на разделительную полосу. Вот еще одно видео из этой страны: здесь уже другие водитель грузовика и велосипедист не поделили дорогу, но в этот раз получил водитель. Похоже, у них там какая-то война."
vk1013,2019-03-04 10:40:36,"Для всех тех, кто пропустил, мы собрали самые популярные публикации за прошедшую неделю: 
 
— Гос номера у частников будут стоить 2000 рублей — drom.ru/s/eY0
 
— Загоревшаяся после ДТП Tesla Model S погубила водителя, заперев все двери — drom.ru/s/bEt 
 
— Не бита, не крашена! Исследуем причины культа небитых машин — drom.ru/s/Yit 
 
— Объява недели: Pontiac GTO, 1966 год, 1 950 000 ₽ — drom.ru/s/uDh"
vk1012,2019-03-04 13:32:40,"Toyota Crown 2014 года: сколько пришлось копить на новый автомобиль, странный спортивный режим и почему внутренняя посадка неудобная. 
 
Читайте новый отзыв от автовладельца: https://drom.ru/s/f6C"
vk1011,2019-03-04 16:01:50,"#объявадня 
Pontiac Firebird, 1997 год 
1 000 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/KSh"
vk1010,2019-03-04 17:05:33,"Передний привод и бездорожье — бред. А если с электронными помощниками?

Новый тест-драйв уже на сайте: https://drom.ru/s/oH3"
vk1009,2019-03-04 19:27:06,"Chery опубликовала цены на кроссовер Tiggo 7 в России, правда, дорестайлинговый

Смотрите по ссылке: https://drom.ru/s/PrO"
vk1008,2019-03-04 20:51:58,"МВД хочет создать открытый реестр автомобилей 
 
Подробнее: https://drom.ru/s/OOY"
vk1007,2019-03-04 23:03:21,"Ford и GM одновременно сняли с производства две массовые модели

Подробнее: https://drom.ru/s/Buh"
vk1006,2019-03-04 23:59:00,ЖЕНЯ
vk1005,2019-03-05 12:31:52,"Компания Джуджаро разработала суперкар для плохих дорог 
 
Подробнее о новинке: https://drom.ru/s/Cwh"
vk1004,2019-03-05 13:38:08,"Автомобили Volvo не смогут разгоняться свыше 180 км/ч

Подробнее: https://drom.ru/s/MK0"
vk1003,2019-03-05 14:30:02,"#объявадня 
Toyota Mark II, 1997 год 
1 100 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/H9x"
vk1002,2019-03-05 15:30:03,"Skoda Kodiaq 2018 года: почему автор всё же выбрал семиместный кроссовер, а не недорогой B-класс, подробности о комплектации Active и 15 минусов Кодиака. 
 
Читайте новый отзыв от автовладельца: https://drom.ru/s/E0Q"
vk1001,2019-03-05 16:35:03,"Карлоса Гона выпустят на свободу. Пока временно

Подробнее: https://drom.ru/s/e4D"
vk1000,2019-03-05 17:30:03,"Тестируем ОСАГО. Все те же «допы» и проблемы с электронным полисом. Но стало лучше 
 
Читайте на сайте: https://drom.ru/s/ubh"
vk999,2019-03-05 19:29:32,"В борьбе за титул автомобиля года в Европе Jaguar I-Pace едва не уступил Alpine A110

Подробнее: https://drom.ru/s/hKN"
vk998,2019-03-06 12:22:21,"Lamborghini привезла в Женеву самый мощный в истории Aventador SVJ Roadster

Подробнее: https://drom.ru/s/Dx0"
vk997,2019-03-06 13:36:50,"Bugatti привезла в Женеву уникальный гиперкар с космическим ценником 
 
Подробнее: https://drom.ru/s/mJz"
vk996,2019-03-06 15:28:45,"Европейцам показали главное достижение русского автопрома

Подробнее: https://drom.ru/s/j2g"
vk995,2019-03-06 16:32:28,"Начинка гибридов и электромобилей: разбираем все детали

Читайте новую статью на сайте: https://drom.ru/s/Eaa"
vk994,2019-03-06 18:45:13,"Reuters: два завода по производству Фордов закроются в России

Подробнее: https://drom.ru/s/5L3"
vk993,2019-03-06 21:17:48,"CX-30 — новый глобальный кроссовер от Mazda

Все подробности о новинке: https://drom.ru/s/YQh"
vk992,2019-03-06 22:00:15,"#объявадня 
Lexus LX570, 2012 год 
4 150 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/fU8"
vk991,2019-03-06 23:05:26,"Владивостокская таможня перестанет оформлять автомобили иногородних покупателей в конце марта

Подробнее: https://drom.ru/s/DoT"
vk990,2019-03-06 23:59:00,"В США прошли соревнования по триалу на монстр-траках. Нам эта культура, конечно, чужда, но посмотрите, что вытворял победитель этих соревнований в зачёте «Фристайл» по имени Дизель Дейв."
vk989,2019-03-07 12:55:25,"Гиперкар Koenigsegg Jesko стал прижизненным памятником отцу основателя компании 
 
Подробнее: https://drom.ru/s/x9N"
vk988,2019-03-07 14:26:22,"Hyundai Sonata со сменой поколений кардинально сменила стиль

Подробнее: https://drom.ru/s/lI8"
vk987,2019-03-07 15:30:02,"Авторынок в феврале: внезапный спад

Читайте на сайте: https://drom.ru/s/bTW"
vk986,2019-03-07 16:30:02,"В Россию придёт всего 22 экземпляра Toyota Supra

Подробнее: https://drom.ru/s/ESC"
vk985,2019-03-07 17:30:02,"Народное ретро. Nissan Laurel C33 1989 года. «Корчевать» или реставрировать…

Читать: https://drom.ru/s/4Qu"
vk984,2019-03-07 19:23:06,"Nissan Terrano 2018 года: три месяца активной эксплуатации, стоит ли ездить на Террано в гололёд и при какой температуре автомобиль отказывается заводиться.

Читайте новый отзыв от автовладельца: https://drom.ru/s/ZEh"
vk983,2019-03-07 23:57:09,"В гостях у «дяди Васи». Женщины и гаражный сервис — совместимы?

Читайте на сайте: https://drom.ru/s/zMX"
vk982,2019-03-08 01:58:46,"В Харькове, Украина, не поделили дорогу... два трамвая. Да, бывает и такое."
vk981,2019-03-08 10:44:28,"Дорогие дамы! Аминистрация сайта drom.ru поздравляет вас с Международым женским днём! Желаем много любви, счастья, весеннего тепла и удачи на дороге!

И пусть, если вас и останавливают сотрудники ДПС, то только для того, чтобы признаться в любви.

С праздником!"
vk980,2019-03-08 12:00:03,Учитесь! Парень осуществил мечту своей девушки и подарил ей на 8 марта машину.
vk979,2019-03-08 13:44:30,"Санкции угрожают проекту «ГАЗели-Next» с турбодизелем Volkswagen
 
Подробнее: https://drom.ru/s/vkd"
vk978,2019-03-08 17:00:28,"В народе существует такое понятие как ""женский автомобиль"". Кто-то думает, что у такого авто должен быть приятный внешний вид, другие - удобный салон, последние думают, что некоторые компактные модели предназначены только для девушек. А что думаете вы? Какой автомобиль у вас ассоциируется с ""женским""? Пишите в комментариях!"
